instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
Worcester State University,MA,81,59,53,62,103074587,11,16,878,94,36,10586,16666,5,29,600,590,2056,3668,5724
Grambling State University,LA,93,42,30,50,81086105,7,30,855,98,83,7635,16658,5,19,480,520,1838,3600,5438
Albany State University,GA,73,26,21,28,90737797,6,19,332,99,84,5934,16656,5,18,460,440,1795,4714,6509
Savannah State University,GA,46,27,24,30,76476293,9,18,667,100,71,5902,16624,1,19,520,460,1348,2140,3488
Minnesota State University Moorhead,MN,66,55,45,61,81714000,18,18,779,98,32,8980,16612,5,24,600,580,1998,3549,5547
Missouri State University-Springfield,MO,87,58,53,61,315590489,4,20,2641,94,29,7938,16608,1,27,610,610,9361,14144,23505
University of Florida-Online,FL,62,75,100,71,19440000,7,49,688,90,21,3876,16579,1,30,670,680,1974,2433,4407
McNeese State University,LA,63,44,40,46,89397890,8,21,1202,96,37,8382,16420,1,25,620,620,2801,4483,7284
East Central University,OK,96,39,32,44,58087416,6,18,480,88,54,7052,16412,1,24,550,510,1436,2172,3608
University of South Alabama,AL,73,45,36,52,431741000,15,17,1600,95,38,8396,16292,1,27,610,580,4562,9662,14224
Winston-Salem State University,NC,73,50,40,54,143348264,7,16,963,98,76,5941,16188,1,19,510,520,1244,3925,5169
Georgia Southwestern State University,GA,73,36,32,39,44339556,9,17,382,98,53,5464,16186,1,22,570,540,1063,2099,3162
University of Central Arkansas,AR,94,46,41,49,193198898,6,15,1838,97,42,9338,16148,1,27,580,570,3861,6474,10335
Wright State University-Lake Campus,OH,100,37,29,44,11918601,8,16,223,87,31,6716,16134,1,24,615,575,723,1026,1749
West Liberty University,WV,68,53,49,56,35130840,7,11,464,94,46,8150,16090,1,23,580,540,903,1578,2481
Western Michigan University,MI,85,57,52,61,477698319,5,18,2893,82,26,13017,16041,1,27,610,610,9546,10341,19887
Winona State University,MN,75,61,56,63,111098000,14,17,1542,99,27,9780,15971,5,25,570,560,2289,4817,7106
